server: http://10.3.64.49:24870
"Language","Tag","Type","SHA1"
"kor-KOR","selfbmw2","QuickNLU","5ed03224d2b105c9f78bfa8869967093f3e42997"
"kor-KOR","selfbmw2","QuickDialog","22f5cbe2a96e24563e1185ed93aab484431132e6"
"kor-KOR","selfbmw2","QuickASR","83a58799e9f1b89970d78b77053234748ae2d39b"
"eng-GBR","selfbmw2","QuickNLU","279dfcd918cecc86731d17431b01b3599f9cabc2"
"eng-GBR","selfbmw2","QuickDialog","f4988d1643483f3df83230385199dd66d3f79460"
"eng-GBR","selfbmw2","QuickASR","644783fb86830b6a3d17ff328696c2a129828a7d"
"eng-USA","selfbmw","QuickNLU","1c736ddb7978f3db9015766a64e8ea55bcd053ad"
"eng-USA","selfbmw","QuickDialog","8274d969973542281c0ff6f13c7ba1cbca89397a"
"eng-USA","selfbmw","QuickASR","bb7956f0639b690370dc4ce2cb143b86fcee0e8e"
"cmn-CHN","selfbmw2","QuickNLU","ea043aef574df65e46855553059cca0b97ccc7ad"
"cmn-CHN","selfbmw2","QuickDialog","7d31f89a21b8b6fedf439ad1e55f64da569d4b07"
"cmn-CHN","selfbmw2","QuickASR","fe3251782264203600189b05225610353f26e7ac"
"deu-DEU","selfbmw","QuickNLU","6ee8466f062e14c1ab898460a2405a575d3c0aa8"
"deu-DEU","selfbmw","QuickDialog","95785c52e7d82028af332013166459e7070292c6"
"deu-DEU","selfbmw","QuickASR","d3ade94cc1a2f5f2818bf8bc679f4c61b7720463"
"fra-FRA","selfbmw2","QuickNLU","a9ebadf2896bd14abdb3a182457577f14f0e3787"
"fra-FRA","selfbmw2","QuickDialog","85906bfe7d7935cef723d4799a535b51c985a8a4"
"fra-FRA","selfbmw2","QuickASR","fc7ae23bc84abe3199debeab893b9287e79d898a"
"spa-ESP","selfbmw2","QuickNLU","712d3c16df3f2fb9843f7baf10adfaecf1781564"
"spa-ESP","selfbmw2","QuickDialog","14611547b16b0bb01408fcbba894d494d925fe9d"
"spa-ESP","selfbmw2","QuickASR","7fdddb37457c8af7c626d8a7e3b8366f3ba79e70"
"eng-USA","selfbmw2","QuickNLU","974d00e8b5425f102dd1c4ac3a832d73eb143c47"
"eng-USA","selfbmw2","QuickDialog","72f045b462fcb4ace8cf07717f09cfe947ce55aa"
"eng-USA","selfbmw2","QuickASR","fa50b98c4415d6b344b64bfd428fc0009bcea07d"
"ita-ITA","selfbmw","QuickNLU","0c678bc1edd0e9eb24761afb8b3ccf7c0e3a3efc"
"ita-ITA","selfbmw","QuickDialog","9cf9c21f10ae381ecc05e9a07eb5529eb9952c4d"
"ita-ITA","selfbmw","QuickASR","06cecbddf8bb6c120c676cb16894f98ce0d299ba"
"jpn-JPN","selfbmw","QuickNLU","38a38078bb6009c6356f374ca6c4d382c4482b95"
"jpn-JPN","selfbmw","QuickDialog","87f6fa00b1034c95de816040cc3f77d73f492f3d"
"jpn-JPN","selfbmw","QuickASR","4db0f50fb1c8db7cebf6c0717640c7eb18c3229f"
"eng-GBR","selfbmw","QuickNLU","a448c36e6ac8605a6feb8b4311434ff42c4e2fa5"
"eng-GBR","selfbmw","QuickDialog","48990ec92b6d205b633e3397db8dd58c592fa2c7"
"eng-GBR","selfbmw","QuickASR","c2f511f32682d1a471ad5952b01724b2fda1f601"
