server: http://10.3.64.49:24870
"Language","Tag","Type","SHA1"
"por-BRA","selfbmw","QuickNLU","7ed98a601b36192e2304a46725f776c283c93b43"
"por-BRA","selfbmw","QuickDialog","c828c41e7f117da2b78f5b3be4114f9e9cc8cf1d"
"por-BRA","selfbmw","QuickASR","188f4e184fa0f05741188507222335f4b00bc1f9"
"deu-DEU","selfbmw2","QuickNLU","798aa9adf3d7b072d6da7fadbaba5b38816e4000"
"deu-DEU","selfbmw2","QuickDialog","51365643b121df44c751829fb05dda29dccc6d62"
"deu-DEU","selfbmw2","QuickASR","d4ecb321bca1c73cb9add36787f9eceb5314e67c"
"eng-USA","carmanual","QuickNLU","8c2425cb21d995e0fc028f0ee6146f2cc6c576e0"
"eng-USA","carmanual","QuickASR","05ba1b8b5bb3bed4e6e02403646be59fcf782d29"
"por-BRA","selfbmw2","QuickNLU","b38d6f1a6e3733af08927aed8c29f0d0f8fd8ff3"
"por-BRA","selfbmw2","QuickDialog","98e54cb4af94fa2aa61a9940af3eb5a83e028423"
"por-BRA","selfbmw2","QuickASR","75c2947ad2acb8e3858817d19176b76bbe209878"
"jpn-JPN","selfbmw2","QuickNLU","375913647a287325f66b2f2d770185662bd9aea1"
"jpn-JPN","selfbmw2","QuickDialog","396f9a03b7767452f4f85a210b485573c70c8966"
"jpn-JPN","selfbmw2","QuickASR","c7bff3ee5e82333550dab115d3e20d3d2b313610"
"spa-ESP","selfbmw","QuickNLU","22518bdadac939eca87917741054cdbd0c5ebba8"
"spa-ESP","selfbmw","QuickDialog","4d6777ad0f379c08ee3675865cf5485da827a323"
"spa-ESP","selfbmw","QuickASR","1d624929373300498f66c5c96b0228058ec3e127"
"deu-DEU","carmanual","QuickNLU","6b847e3d4c2e0e3392e2678956ed7ffb9597cf66"
"deu-DEU","carmanual","QuickASR","d2fccb6f2c8e02e8eb7d6462cde4ccdfcd4418ce"
"cmn-CHN","carmanual","QuickNLU","b047024b6622c8401d581812cd2354072d9c07cd"
"cmn-CHN","carmanual","QuickASR","2fe5451be706631e80b051277c2f1198b311c8d8"
"ita-ITA","selfbmw2","QuickNLU","2767a4b7fdf7b1849e43aaaf11854b502dd71f7f"
"ita-ITA","selfbmw2","QuickDialog","97e7bf910c8abaff9dcf409f6a587065f072d9cd"
"ita-ITA","selfbmw2","QuickASR","f2c6cda6a2f50b405696a381d0bd70c750b8d59e"
"fra-FRA","selfbmw","QuickNLU","70ba54bc5e033bf54ce2bf18f8280b41ed48d227"
"fra-FRA","selfbmw","QuickDialog","d679cd1723234bff0237034f3dca19d3390d4311"
"fra-FRA","selfbmw","QuickASR","fb5f89e71056e91bf31083110efd5559de01386f"

