server: http://10.3.64.49:24870
"Language","Tag","Type","SHA1"
"ces-CZE","chatbot","QuickDialog","467c6f1d0aa8f26c00529d9f96e41e9f5de4e1fc"
"ces-CZE","selfnlps","QuickNLU","8dae8a300b78ecc3572c0744ae9a6cbb7a321821"
"ces-CZE","selfntg6","QuickNLU","8dae8a300b78ecc3572c0744ae9a6cbb7a321821"
"ces-CZE","sonicdaimler","QuickNLU","63ee7497cd31bec1d4824c7751350b8025dde05f"
"cmn-CHN","calculator","QuickDialog","dcd91799600239640f9dcfe7af948779c5c2ca86"
"cmn-CHN","carmanual","QuickASR","7572341201aad43d80ddb8cb1b1d9a05c31cfa3e"
"cmn-CHN","carmanual","QuickNLU","af668e0c6ecc905ec90e5e55dcdb8a0cc2a3810f"
"cmn-CHN","chatbot","QuickDialog","6d19932abe74b3db4871a6033424ec9b6f716dbc"
"cmn-CHN","currency","QuickDialog","e27730ee2bd1a17eef37c6c3d7b7841f6cba7208"
"cmn-CHN","datetime","QuickDialog","6c222c2c43a9e998771160c6e2601c80ddb37b17"
"cmn-CHN","geoquiz","QuickDialog","6965bfe1c5a21e8a39804c3989b56b18d60763da"
"cmn-CHN","ico","QuickDialog","daf16cc93a21f189839288c002ee5303bfe84a03"
"cmn-CHN","lunarcalendar","QuickDialog","480b47ba1659037c4c122c12383d0a3772a7e4c1"
"cmn-CHN","publicholidays","QuickDialog","4e540eaa9d52faf74068b33d6128fdf844380296"
"cmn-CHN","selfnlps","QuickNLU","a95ddd6dc28d649e1270df2beaeb30b4a3e9e943"
"cmn-CHN","selfntg6","QuickNLU","a95ddd6dc28d649e1270df2beaeb30b4a3e9e943"
"cmn-CHN","sonicdaimler","QuickNLU","b09e5713bbdaaaab1dcb2f1fb9db7a4d12642c4f"
"cmn-CHN","unitconverter","QuickDialog","ad3e0b0f454538b269d49c611c5fc8cbbb18e8b9"
"cmn-TWN","chatbot","QuickDialog","a1a70d45b79cca11fdd7bc61272614ef109f7138"
"cmn-TWN","selfnlps","QuickNLU","caa6763182fd65c7158d52ab43ca23bb91969727"
"cmn-TWN","selfntg6","QuickNLU","caa6763182fd65c7158d52ab43ca23bb91969727"
"cmn-TWN","sonicdaimler","QuickNLU","b47c37b0404b858989252f19ea4c6f7c60bd0f57"
"deu-DEU","calculator","QuickDialog","9c64d54e8d259be9a3361619fc2ef90eb2e4dc43"
"deu-DEU","carmanual","QuickASR","4ea14fcae3bba89f96f73aad7ae37b62901aac19"
"deu-DEU","carmanual","QuickNLU","3a2340ba869eb64eaf2ce4fed955e1da42e5fb7a"
"deu-DEU","chatbot","QuickDialog","b7aae0ba704a135f0db871611a3f7e51a48574c8"
"deu-DEU","currency","QuickDialog","14e86b3c76d5c58d1a724716a9b7c6ae3fb2b70b"
"deu-DEU","datetime","QuickDialog","689bfbf54f5f393140950989aa2e302e2efb0475"
"deu-DEU","geoquiz","QuickDialog","ddda448e5cb839ad4d5c22b05d3a4e6575968532"
"deu-DEU","gkqa","QuickDialog","b19bc44ec6632e4dc7b7b33eaa2569ced089f6bc"
"deu-DEU","horoscope","QuickDialog","93e7ebfb45a9273699803866b360a9bc0f7bcf49"
"deu-DEU","ico","QuickDialog","ea1e3f20131966778d73d26fcadbbf357e730f58"
"deu-DEU","publicholidays","QuickDialog","4b465c9780690389b34bcc36a0a5f1c0268e1bef"
"deu-DEU","schoolvacation","QuickDialog","f785411f37760c3cc7eba743f76a265bf84246d4"
"deu-DEU","selfnlps","QuickNLU","47acfdb751b107be075f64eaf84028e0caf31423"
"deu-DEU","selfntg6","QuickNLU","47acfdb751b107be075f64eaf84028e0caf31423"
"deu-DEU","soccer","QuickDialog","3e75cbebaa353939e8ee8465099d27e2c8a52020"
"deu-DEU","sonicdaimler","QuickNLU","14e863ac459f372f19fd186b22c8d518224b8c34"
"deu-DEU","sport","QuickDialog","cfc6a5616f71cad9ab810ab11351c7a34e3133eb"
"deu-DEU","unitconverter","QuickDialog","22618d6526746ddffcdd133e580af181aea72953"
"eng-GBR","chatbot","QuickDialog","55dc8e326b72e58a2974729eedb0c7d88f593b49"
"eng-GBR","gkqa","QuickDialog","34ef9c8dde414c1e9fb39e5baf8558884437e47e"
"eng-GBR","ico","QuickDialog","f5cb1e8faad4bcbcb928ff0392fd9f2cbc21e74c"
"eng-GBR","selfnlps","QuickNLU","89f5e752ad25256eb778eb0ef96852546e20806a"
"eng-GBR","selfntg6","QuickNLU","89f5e752ad25256eb778eb0ef96852546e20806a"
"eng-GBR","soccer","QuickDialog","a470e19afbe108d21279b939049eec03dd767ec1"
"eng-GBR","sonicdaimler","QuickNLU","c97fbe26f72f60875c27c6a642170eda255d104e"
"eng-GBR","sport","QuickDialog","a470e19afbe108d21279b939049eec03dd767ec1"
"eng-GBR","ude-ford-2","QuickASR","db204f0876d6cd8d9c5cf0016d1bd97fb095bbbd"
"eng-GBR","ude-ford-2","QuickDialog","26e361414d1f406fd146ae122ab70c5af6eaa4ec"
"eng-GBR","ude-ford-2","QuickNLU","7efb3c330b4f42d8ec0f966d9ca4529f076d07af"
"eng-USA","calculator","QuickDialog","a4831ab03e50974e57a654682c13ebe4576e7c93"
"eng-USA","carmanual","QuickASR","d4bc413a0b81d1e1872bb368b23e7ec6d248a31f"
"eng-USA","carmanual","QuickNLU","4c13f3ecd64f65f30bf3e28958495912b708fc1f"
"eng-USA","chatbot","QuickDialog","e3078eda059bb3cb9f3b108312a72bccb99f877e"
"eng-USA","currency","QuickDialog","0f6bf353b0b99a8060a58016c7606e729a4a4c2a"
"eng-USA","datetime","QuickDialog","f733c9b7365f04750455c064d453382cec853e62"
"eng-USA","fordcarman","QuickASR","912fc363ff1e3f1fd6ca53a6fd976fbbf5c4d70f"
"eng-USA","fordcarman","QuickDialog","fad72b4038d230d724cefc309d692bcd7eb356a2"
"eng-USA","fordcarman","QuickNLU","2088418102c45c4cbea17eecffc5f38c1a601137"
"eng-USA","geoquiz","QuickDialog","a8a738f5e238610d4c02788ee018b0d1311efeb9"
"eng-USA","horoscope","QuickDialog","bad0a255bed852cba48130938569b396ade27109"
"eng-USA","ico","QuickDialog","6889e60e1c2736f27e1169553291cee4a1f731ed"
"eng-USA","publicholidays","QuickDialog","9133ec3ea313ba5ccc9b0ad03dee573650bf92ac"
"eng-USA","selfnlps","QuickNLU","fc0f993ee8a674cbb7f907df3ef5658bf12657e0"
"eng-USA","selfntg6","QuickNLU","fc0f993ee8a674cbb7f907df3ef5658bf12657e0"
"eng-USA","soccer","QuickDialog","41b39ecac1fcd941402363cb830625a013eb7340"
"eng-USA","sonicdaimler","QuickNLU","9f1fa4bba5a8c5b718ed3c59f4851c0e40795a60"
"eng-USA","ude-ford-2","QuickASR","549a65cdfd77e077721197c16dc6765c0d6c93d8"
"eng-USA","ude-ford-2","QuickDialog","394c128aac432559396a37bb84e5afcb57f07e83"
"eng-USA","ude-ford-2","QuickNLU","7cc55493768294baf6c2401bde04500bd40fc4ae"
"eng-USA","unitconverter","QuickDialog","68391af5df2f5b43b7208d327e43f12508fcd312"
"fra-CAN","chatbot","QuickDialog","adcd19491bf35740a3c81f4dc71d6ccf065c0720"
"fra-CAN","ico","QuickDialog","0b4a706a8a8df68aa572faca41537c5929419798"
"fra-CAN","selfnlps","QuickNLU","89461f077bbdc0b3d4296bb25a2f35defb03dd78"
"fra-CAN","selfntg6","QuickNLU","89461f077bbdc0b3d4296bb25a2f35defb03dd78"
"fra-CAN","sonicdaimler","QuickNLU","0ceb3191fd12e9d14d100ca39a7011dd816a0ee7"
"fra-FRA","chatbot","QuickDialog","e0dc1ac1d7ff4b0168700d61dc7d0597a54e9c8b"
"fra-FRA","ico","QuickDialog","8a906497da706d5a5a017feca612b62799620995"
"fra-FRA","selfnlps","QuickNLU","84b8a98ea3bc079b74ee5666927e4d6fbfd1339b"
"fra-FRA","selfntg6","QuickNLU","84b8a98ea3bc079b74ee5666927e4d6fbfd1339b"
"fra-FRA","sonicdaimler","QuickNLU","0e7deea5df83d6bc844658d08d5818cb0e4d221c"
"ita-ITA","chatbot","QuickDialog","89e1a1f9457470f15a2587c57e76ef26787c065b"
"ita-ITA","ico","QuickDialog","24194a3363a25c8828973cd1660dea1853611ec1"
"ita-ITA","selfnlps","QuickNLU","ef7b54837c0a5d52e781c74eb6ba991cb21c5162"
"ita-ITA","selfntg6","QuickNLU","ef7b54837c0a5d52e781c74eb6ba991cb21c5162"
"ita-ITA","sonicdaimler","QuickNLU","870d028f623619e7f2f83008c7cd638152346626"
"jpn-JPN","chatbot","QuickDialog","8a8c5fdbed3bb500f906313490d79d0d8b13c559"
"jpn-JPN","ico","QuickDialog","629115783cba715ef15f7aee29b900aa97935366"
"jpn-JPN","selfnlps","QuickNLU","feeaacc909090ee64dd0a619264103664fbf9814"
"jpn-JPN","selfntg6","QuickNLU","feeaacc909090ee64dd0a619264103664fbf9814"
"jpn-JPN","sonicdaimler","QuickNLU","ed77e8206369a6e3ca166a0b5775759c06d03a37"
"kor-KOR","chatbot","QuickDialog","24590341617729a675922abee8ad9cd963222a42"
"kor-KOR","ico","QuickDialog","7e56ef0ca9fadb324b0eeeea9026306abb5fe180"
"kor-KOR","selfnlps","QuickNLU","3c6d6cedba81f436885b7cbe26bd495337284be4"
"kor-KOR","selfntg6","QuickNLU","3c6d6cedba81f436885b7cbe26bd495337284be4"
"kor-KOR","sonicdaimler","QuickNLU","c4b7f51f9c35f84611512247530e5d7dbf103ce1"
"nld-NLD","chatbot","QuickDialog","3221ee09a54aaf0fc8fad731be88892a21273619"
"nld-NLD","ico","QuickDialog","71d843223540dd183c2d6df3a5d8c0a6c1da035e"
"nld-NLD","selfnlps","QuickNLU","103a0f4e632cc2a0676a1cf863e1343e48e3941f"
