server: http://10.3.64.49:24870
"Language","Tag","Type","SHA1"
"yue-CHS","sonicdmlr2","QuickNLU","58a55b9cb5b9c84248230d888d1feec5ec2db3f0"
"eng-GBR","gkqa","QuickDialog","2e7452cce63e96165823af70c9b1b795f963fbc2"
"ces-CZE","selfntg6","QuickNLU","ca9403b48f587c0c744fa9312d736e62e375809a"
"kor-KOR","selfntg6","QuickNLU","3c6d6cedba81f436885b7cbe26bd495337284be4"
"jpn-JPN","sonicdmlr2","QuickNLU","a0aed56cffdfc1ffb0918168c43af072c880a502"
"spa-ESP","selfntg6","QuickNLU","37cc3d56abb265899d92540553c5b9b1a965e736"
"spa-XLA","sonicdaimler","QuickNLU","642b30a5566d6a687e3c39a8149165f00da39b90"
"pol-POL","chatbot","QuickDialog","43065c5e4fc1db2ad14c00ef132730a1667430a9"
"eng-USA","currency20","QuickDialog","030e3758e01dbe1355541357aa94418531b41002"
"eng-USA","smartude","QuickDialog","394c128aac432559396a37bb84e5afcb57f07e83"
"yue-CHS","selfntg6x2","QuickNLU","1aa2fb9bc64864b73d738d646a2ee8e9c40a0358"
"deu-DEU","horoscope","QuickDialog","ebed9ad0980c5edb92eed8f9aa4d465d2e91a7c2"
"por-BRA","sonicdmlr2","QuickNLU","d4790f8612b6bc9713b8a3f8faa115400a593c5c"
"spa-ESP","sonicdmlr2","QuickNLU","f2b9f108a31bd41a9d10017fb91412486d89b799"
"yue-CHN","selfnlps","QuickNLU","bb12b173db816c245cf8836596e860e31133cb37"
"cmn-TWN","sonicdaimler","QuickNLU","b47c37b0404b858989252f19ea4c6f7c60bd0f57"
"eng-USA","calculator20","QuickDialog","9a768529c5af56d7420844072cef09e95804ca9f"
"ita-ITA","sonicdaimler","QuickNLU","870d028f623619e7f2f83008c7cd638152346626"
"ces-CZE","sonicdaimler","QuickNLU","63ee7497cd31bec1d4824c7751350b8025dde05f"
"pol-POL","sonicdmlr2","QuickNLU","2823b390fd76d718b398732715d3580f592489cc"
"eng-USA","sonicdaimler","QuickNLU","b25e8e6f53d6a19b57559aeac74e2f950eb3a30f"
"eng-IND","chatbot20","QuickDialog","fb306b4eab4618416ff408b03be80bd775099ad3"
